company,product,company_type,category,agent_surface,evidence_summary,evidence_url,protocol_or_invocation,verification_status,discovery_date,notes
Forethought,Forethought AI Agents,startup,customer-support-agent,customer_service_agent,AI agent platform for customer support.,https://forethought.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Crescendo,Crescendo CX AI,startup,customer-support-agent,customer_service_agent,AI customer support platform combining automation and human operations.,https://www.crescendo.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Ultimate,Ultimate AI agents,startup,customer-support-agent,customer_service_agent,Customer support automation and AI agents.,https://www.ultimate.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
PolyAI,PolyAI voice assistants,startup,voice-agent,agent_product,Voice AI agents for customer service.,https://poly.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Parloa,Parloa AI Agent Management Platform,startup,voice-agent,agent_product,Enterprise AI agent platform for customer communications.,https://www.parloa.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Talkdesk,Talkdesk Autopilot,established,contact-center-agent,customer_service_agent,Autonomous customer-service AI agent for contact centers.,https://www.talkdesk.com/products/autopilot/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Cresta,Cresta AI Agent,startup,contact-center-agent,customer_service_agent,AI agents and copilots for contact centers.,https://cresta.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Uniphore,Uniphore AI agents,established,customer-service-agent,customer_service_agent,Enterprise conversational AI and agent automation.,https://www.uniphore.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
yellow.ai,yellow.ai Dynamic AI Agents,startup,customer-service-agent,customer_service_agent,Dynamic AI agents for customer and employee service.,https://yellow.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Maven AGI,Maven AGI,startup,customer-support-agent,customer_service_agent,AI-native customer support agents.,https://www.mavenagi.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Ema,Ema Universal AI Employee,startup,enterprise-agent-platform,agent_platform,Universal AI employee and agent platform for enterprise tasks.,https://www.ema.co/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Orby AI,Orby AI,startup,enterprise-automation-agent,agent_product,AI agents for automating enterprise workflows.,https://www.orby.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Lindy,Lindy,startup,personal-workflow-agent,workflow_agent,AI employees and agents for business workflows.,https://www.lindy.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Zapier,Zapier Agents,established,workflow-agent-platform,workflow_agent,No-code AI agents connected to Zapier automations.,https://zapier.com/agents,api,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
n8n,n8n AI Agents,startup,workflow-agent-platform,workflow_agent,Workflow automation platform for building AI agents.,https://n8n.io/ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Make,Make AI Agents,established,workflow-agent-platform,workflow_agent,Automation platform for AI agents and workflows.,https://www.make.com/en/ai-agents,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Gumloop,Gumloop AI Agents,startup,workflow-agent-platform,workflow_agent,No-code AI automation and agent platform.,https://www.gumloop.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Relay.app,Relay.app AI agents,startup,workflow-agent-platform,workflow_agent,Workflow automation platform with AI agents.,https://www.relay.app/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Bardeen,Bardeen AI Agent,startup,browser-workflow-agent,workflow_agent,Browser automation and workflow AI agent.,https://www.bardeen.ai/,browser_automation,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Artisan,Ava / Artisan AI employees,startup,sales-agent,agent_product,AI employees for sales and go-to-market work.,https://www.artisan.co/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
11x,11x AI digital workers,startup,sales-agent,agent_product,AI sales development and revenue agents.,https://www.11x.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Clay,Claygent,startup,gtm-agent,agent_product,AI research agent for go-to-market data enrichment.,https://www.clay.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Regie.ai,Regie.ai agents,startup,sales-agent,agent_product,AI agents for sales prospecting and outbound workflows.,https://www.regie.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Qualified,Piper AI SDR,startup,sales-agent,agent_product,AI SDR agent for website pipeline generation.,https://www.qualified.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Conversica,Conversica AI Assistants,established,sales-service-agent,agent_product,AI assistants for revenue teams.,https://www.conversica.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Drift,Drift AI chat agents,established,sales-chat-agent,agent_product,Conversational marketing and sales AI agents.,https://www.drift.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Cognition,Devin,startup,coding-agent,coding_agent,Autonomous AI software engineer.,https://devin.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Anysphere,Cursor,startup,coding-agent,coding_agent,AI code editor with agentic coding workflows.,https://cursor.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Replit,Replit Agent,startup,coding-agent,coding_agent,Agent for building apps and software in Replit.,https://replit.com/agent,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Windsurf,Windsurf Editor,startup,coding-agent,coding_agent,Agentic coding IDE.,https://windsurf.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Magic,Magic coding agents,startup,coding-agent,coding_agent,AI coding agent research and product company.,https://magic.dev/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Poolside,poolside,startup,coding-agent,coding_agent,AI coding assistant and agent company.,https://poolside.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Factory,Factory Droid agents,startup,coding-agent,coding_agent,AI software engineering agents.,https://www.factory.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Codegen,Codegen,startup,coding-agent,coding_agent,AI agents for automating software engineering tasks.,https://www.codegen.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Sweep,Sweep AI,startup,coding-agent,coding_agent,AI junior developer for GitHub issues and code changes.,https://sweep.dev/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Qodo,Qodo Merge / Gen,startup,coding-agent,coding_agent,AI coding and code review agents.,https://www.qodo.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Tabnine,Tabnine AI agents,startup,coding-agent,coding_agent,AI software development agents and assistants.,https://www.tabnine.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Sourcegraph,Amp,startup,coding-agent,coding_agent,Agentic coding tool from Sourcegraph.,https://ampcode.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Continue,Continue,startup,coding-agent,coding_agent,Open-source AI code assistant and agent framework.,https://www.continue.dev/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
