agent_id,display_name,provider,description,niche_guess,declared_a2a_endpoint,agent_card_url,card_location_type,protocol_version,agent_version,skill_count,skill_names,capabilities,auth_required,verification_status,verification_evidence,discovery_source,discovery_date,notes
"education-ai-mcp","education-ai-mcp","MEOK AI Labs","Education Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/education-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/education-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Generate Lesson Plan; Create Quiz; Analyze Student Progress; Recommend Learning Path; Generate Rubric","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / education-ai-mcp"
"event-planning-ai-mcp","event-planning-ai-mcp","MEOK AI Labs","Event Planning Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/event-planning-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/event-planning-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Calculate Venue Capacity; Plan Budget; Optimize Schedule; Manage Guest List; Estimate Catering","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / event-planning-ai-mcp"
"flight-logger-mcp","flight-logger-mcp","MEOK AI Labs","Flight Logger MCP Server by MEOK AI Labs","TravelHospitality/itinerary-planning","https://proofof.ai/scorecard/flight-logger-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/flight-logger-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Log Flight; Flight Summary; Compliance Report; List Drones","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / flight-logger-mcp"
"gardening-ai-mcp","gardening-ai-mcp","MEOK AI Labs","Gardening Ai MCP Server by MEOK AI Labs","HomeFamily/gardening","https://proofof.ai/scorecard/gardening-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/gardening-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Identify Plant; Generate Watering Schedule; Analyze Soil; Companion Planting; Diagnose Pest","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / gardening-ai-mcp"
"photography-ai-mcp","photography-ai-mcp","MEOK AI Labs","Photography Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/photography-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/photography-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Analyze Exif; Map Photo Locations; Find Duplicates; Extract Color Palette; Edit Metadata","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / photography-ai-mcp"
"hydration-reminder-ai-mcp","hydration-reminder-ai-mcp","MEOK AI Labs","Hydration Reminder Ai MCP Server by MEOK AI Labs","HealthWellness/medication-reminders","https://proofof.ai/scorecard/hydration-reminder-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/hydration-reminder-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Log Water Intake; Get Daily Hydration; Calculate Target; Get Hydration Tips","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / hydration-reminder-ai-mcp"
"focus-timer-ai-mcp","focus-timer-ai-mcp","MEOK AI Labs","Focus Timer Ai MCP Server by MEOK AI Labs","ProductivityPersonal/focus-pomodoro","https://proofof.ai/scorecard/focus-timer-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/focus-timer-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.7","8","Start Focus; Pause Focus; Resume Focus; End Focus; Get Sessions; Get Analytics; Update Settings; Start Break","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / focus-timer-ai-mcp"
"budget-planner-ai-mcp","budget-planner-ai-mcp","MEOK AI Labs","Budget Planner Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/budget-planner-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/budget-planner-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","13","Create Budget; Add Expense; Add Income; Get Budget Status; Get Transactions; Create Goal; Update Goal Progress; Get Goals; Get Analytics; Set Budget Alert; Get Category Spending; Transfer Funds; Rollover Unused","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / budget-planner-ai-mcp"
"tax-calculator-ai-mcp","tax-calculator-ai-mcp","MEOK AI Labs","AI-powered tax calculator ai MCP server for agents. Supports calculate income tax, calculate vat","PersonalFinance/tax-prep-assistant","https://proofof.ai/scorecard/tax-calculator-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/tax-calculator-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.4","5","Calculate Income Tax; Calculate Vat; Estimate Corporation Tax; Calculate Capital Gains; Get Tax Deadlines","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / tax-calculator-ai-mcp"
"weather-ai-mcp","weather-ai-mcp","MEOK AI Labs","Weather Ai tools for AI agents. Capabilities: get current conditions, get forecast, get historical","TravelHospitality/local-experiences","https://proofof.ai/scorecard/weather-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/weather-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.5","5","Get Current Conditions; Get Forecast; Get Historical Weather; Get Agricultural Alerts; Get Severe Weather Warnings","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / weather-ai-mcp"
"writing-assistant-ai-mcp","writing-assistant-ai-mcp","MEOK AI Labs","Writing Assistant Ai tools for AI agents. Capabilities: generate headlines, score readability","CreativeHobbies/creative-writing-hobby","https://proofof.ai/scorecard/writing-assistant-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/writing-assistant-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.5","5","Generate Headlines; Score Readability; Analyze Tone; Build Outline; Check Similarity","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / writing-assistant-ai-mcp"
"subscription-tracker-ai-mcp","subscription-tracker-ai-mcp","MEOK AI Labs","MCP server for subscription tracker ai. Features add subscription, get total spend, list","HomeFamily/pet-care","https://proofof.ai/scorecard/subscription-tracker-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/subscription-tracker-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.5","4","Add Subscription; Get Total Spend; List Subscriptions; Find Duplicates","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / subscription-tracker-ai-mcp"
"calendar-ai-mcp","calendar-ai-mcp","MEOK AI Labs","Calendar Ai MCP Server by MEOK AI Labs","SocialCommunity/event-planning-social","https://proofof.ai/scorecard/calendar-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/calendar-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.7","4","Create Event; Find Free Slot; Calculate Duration; Timezone Convert","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / calendar-ai-mcp"
"pomodoro-ai-mcp","pomodoro-ai-mcp","MEOK AI Labs","Pomodoro Ai MCP Server by MEOK AI Labs","ProductivityPersonal/focus-pomodoro","https://proofof.ai/scorecard/pomodoro-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/pomodoro-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.7","5","Start Session; Stop Session; Get Stats; Configure Timer; Get Productivity Report","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / pomodoro-ai-mcp"
"price-tracker-ai-mcp","price-tracker-ai-mcp","MEOK AI Labs","Price Tracker Ai MCP Server by MEOK AI Labs","ShoppingRetail/price-tracking","https://proofof.ai/scorecard/price-tracker-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/price-tracker-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Track Price; Get Price History; Set Alert; Compare Prices","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / price-tracker-ai-mcp"
"real-estate-listing-mcp","real-estate-listing-mcp","MEOK AI Labs","Real Estate Listing MCP Server by MEOK AI Labs","RealEstate/listing-description","https://proofof.ai/scorecard/real-estate-listing-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/real-estate-listing-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Estimate Valuation; Generate Listing; Find Comparable Sales; Calculate Mortgage; Analyze Neighborhood","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / real-estate-listing-mcp"
"currency-converter-ai-mcp","currency-converter-ai-mcp","MEOK AI Labs","Currency Converter Ai MCP Server by MEOK AI Labs","PersonalFinance/budgeting","https://proofof.ai/scorecard/currency-converter-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/currency-converter-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","12","Convert Currency; Batch Convert; Get Rate; Get All Rates; Get Historical Rate; Get Rate Trend; Add Favorite; Get Favorites; Set Rate Alert; Get Alerts; Get Supported Currencies; Get Conversion History","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / currency-converter-ai-mcp"
"math-solver-ai-mcp","math-solver-ai-mcp","MEOK AI Labs","Math Solver Ai MCP Server by MEOK AI Labs","EducationLearning/homework-help","https://proofof.ai/scorecard/math-solver-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/math-solver-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Solve Equation; Statistics Summary; Matrix Operations; Probability Calculator","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / math-solver-ai-mcp"
"meditation-guide-ai-mcp","meditation-guide-ai-mcp","MEOK AI Labs","Meditation Guide Ai MCP Server by MEOK AI Labs","SportsOutdoors/workout-plans","https://proofof.ai/scorecard/meditation-guide-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/meditation-guide-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Get Meditation; Track Session; Get Breathing Exercise; Suggest Practice","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / meditation-guide-ai-mcp"
"health-check-ai-mcp","health-check-ai-mcp","MEOK AI Labs","Health Check Ai MCP Server by MEOK AI Labs","HealthWellness/symptom-triage","https://proofof.ai/scorecard/health-check-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/health-check-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Check Endpoint; Batch Check; Get Uptime Report; Configure Monitor","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / health-check-ai-mcp"
"healthcare-fhir-mcp","healthcare-fhir-mcp","MEOK AI Labs","Healthcare Fhir MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/healthcare-fhir-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/healthcare-fhir-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.5","8","Search Patients; Get Patient; Search Conditions; Search Medications; Search Observations; Create Observation; Get Care Plan; Validate Resource","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / healthcare-fhir-mcp"
"translator-pro-ai-mcp","translator-pro-ai-mcp","MEOK AI Labs","AI-powered translator pro ai MCP server for agents. Supports translate text, detect language","EducationLearning/language-tutor","https://proofof.ai/scorecard/translator-pro-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/translator-pro-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.4","4","Translate Text; Detect Language; Compare Translations; Get Supported Languages","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / translator-pro-ai-mcp"
"translation-ai-mcp","translation-ai-mcp","MEOK AI Labs","Translation Ai automation via MCP. Includes translate text, detect language, check grammar. By MEOK","EducationLearning/language-tutor","https://proofof.ai/scorecard/translation-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/translation-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.5","5","Translate Text; Detect Language; Check Grammar; Adjust Tone; Validate Localization","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / translation-ai-mcp"
"quiz-generator-ai-mcp","quiz-generator-ai-mcp","MEOK AI Labs","Quiz Generator Ai MCP Server by MEOK AI Labs","EducationLearning/flashcard-generator","https://proofof.ai/scorecard/quiz-generator-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/quiz-generator-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Generate Quiz; Validate Answers; Generate Flashcards; Assess Difficulty","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / quiz-generator-ai-mcp"
"creativity-engine-mcp","creativity-engine-mcp","MEOK AI Labs","Creativity Engine MCP Server by MEOK AI Labs","EducationLearning/research-assistant-student","https://proofof.ai/scorecard/creativity-engine-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/creativity-engine-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Find Bisociations; Assess Creativity; Compute Novelty; Suggest Exploration; Get Qd Archive Stats","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / creativity-engine-mcp"
"color-ai-mcp","color-ai-mcp","MEOK AI Labs","Color Ai MCP Server by MEOK AI Labs","CreativeHobbies/art-prompt","https://proofof.ai/scorecard/color-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/color-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Hex To Rgb; Generate Palette; Check Contrast; Suggest Accessible","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / color-ai-mcp"
"fishkeeper-ai-mcp","fishkeeper-ai-mcp","MEOK AI Labs","Fishkeeper Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/fishkeeper-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/fishkeeper-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","6","Analyze Water Params; Identify Fish; Check Compatibility; Diagnose Disease; Calculate Stocking; Get Feeding Schedule","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / fishkeeper-ai-mcp"
"video-editing-ai-mcp","video-editing-ai-mcp","MEOK AI Labs","Video Editing Ai MCP server. Tools: split scenes, generate subtitles, thumbnail data. Built by MEOK","CreativeHobbies/art-prompt","https://proofof.ai/scorecard/video-editing-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/video-editing-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.4","5","Split Scenes; Generate Subtitles; Thumbnail Data; Recommend Color Grading; Convert Aspect Ratio","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / video-editing-ai-mcp"
"voice-audio-mcp","voice-audio-mcp","MEOK AI Labs","Voice Audio MCP server. Tools: text to speech, list voices, transcribe. Built by MEOK AI Labs.","EducationLearning/language-tutor","https://proofof.ai/scorecard/voice-audio-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/voice-audio-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.4","4","Transcribe Audio; Analyze Audio; Detect Language; Estimate Duration","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / voice-audio-mcp"
"stock-analyzer-ai-mcp","stock-analyzer-ai-mcp","MEOK AI Labs","AI-powered stock analyzer ai MCP server for agents. Supports analyze stock, calculate ratios","PersonalFinance/investment-education","https://proofof.ai/scorecard/stock-analyzer-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/stock-analyzer-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.5","4","Analyze Stock; Calculate Ratios; Compare Stocks; Get Sector Performance","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / stock-analyzer-ai-mcp"
"crypto-tracker-ai-mcp","crypto-tracker-ai-mcp","MEOK AI Labs","Crypto Tracker Ai MCP Server by MEOK AI Labs","ShoppingRetail/price-tracking","https://proofof.ai/scorecard/crypto-tracker-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/crypto-tracker-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Track Price; Compare Cryptos; Calculate Portfolio; Get Market Cap","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / crypto-tracker-ai-mcp"
"clinical-trials-ai-mcp","clinical-trials-ai-mcp","MEOK AI Labs","Clinical Trials Ai MCP Server by MEOK AI Labs","HealthWellness/telehealth-scheduling","https://proofof.ai/scorecard/clinical-trials-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/clinical-trials-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Search Trials; Check Eligibility; Get Trial Details; Compare Trials; Get Trial Endpoints","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / clinical-trials-ai-mcp"
"legal-document-ai-mcp","legal-document-ai-mcp","MEOK AI Labs","Legal Document Ai MCP Server by MEOK AI Labs","LegalConsumer/contract-simplify","https://proofof.ai/scorecard/legal-document-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/legal-document-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Generate Nda; Explain Clause; Define Legal Term; Check Compliance; Case Summary","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / legal-document-ai-mcp"
"landlaw-ai-mcp","landlaw-ai-mcp","MEOK AI Labs","Landlaw Ai MCP Server by MEOK AI Labs","SocialCommunity/event-planning-social","https://proofof.ai/scorecard/landlaw-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/landlaw-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","6","Search Land Registry; Check Planning Permission; Explain Covenant; Calculate Sdlt; Draft Section Notice; Check Right Of Way","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / landlaw-ai-mcp"
