[2026-05-24T08:37:36.932Z] GET http://localhost:3000/admin → 307 (12ms, ?B)
[2026-05-24T08:37:47.532Z] GET http://localhost:3000/admin/login?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zRGFtSWFCWkhLYnB5YmZzelVBSFl2QmtucW8iLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0VBQ0RYVXRxbzQ4b2VRdzdXNml0eEJHRDJqOyBQYXRoPS87IEV4cGlyZXM9TW9uLCAyNCBNYXkgMjAyNyAwODozNzo0NyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.kN2OCTrnjsNB5YiCUC6IzdwcAD6hp9K9JvZq1_1V3FRVcNn6DuSzpWxKHIgCazZvvGaou6qnlA19vBzsnTyYAMMPqPg42UZKb8ywpG3s2CTE-n6FxTU_hjv0GG92XslmpnzBIu-DlqxwQlyjVnzW31WONwEGCi7mGVhF_nuetrWZSSEtcEykVIvIfh6Zufsdtn7EWh1me5djxKXS1Pt-lVP-k7kxeiLO0AeodnH8vRgN9SzgYjVNFBCy_kicQnh5qxQQd5hc3XnW9avb_Y0rfNoGqLFGIA4ABoF8JU4QiaP622vtWDivPtQ0mzbmpCXgB_VWJKcVIwnuvAuBRZncpA → 307 (14ms, ?B)
[2026-05-24T08:37:47.546Z] GET http://localhost:3000/admin/login → pending (?ms, ?B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/media/5a5e1de964942591-s.p.woff2 → 200 (24ms, 17088B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/media/636a5ac981f94f8b-s.p.woff2 → 200 (23ms, 27272B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/media/caaf09c89b54c653-s.p.woff2 → 200 (24ms, 17112B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/media/e8cfe0f11c4b6887-s.p.woff2 → 200 (24ms, 17076B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/media/f95a7a08d15942d0-s.p.woff2 → 200 (48ms, 17068B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1779611868148 → 200 (24ms, 75829B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1779611868148 → 200 (49ms, 140816B)
[2026-05-24T08:37:48.306Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1779611868148 → 200 (155ms, 7609170B)
[2026-05-24T08:37:48.307Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (49ms, 248753B)
[2026-05-24T08:37:48.307Z] GET http://localhost:3000/_next/static/chunks/app/admin/login/page.js → 200 (49ms, 470613B)
[2026-05-24T08:37:48.307Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (90ms, 3352276B)
[2026-05-24T08:37:48.307Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/clerk-js@6/dist/clerk.browser.js → 307 (133ms, ?B)
[2026-05-24T08:37:48.307Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/ui@1/dist/ui.browser.js → 307 (133ms, ?B)
[2026-05-24T08:37:48.440Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/ui@1.13.0/dist/ui.browser.js → 200 (256ms, 133147B)
[2026-05-24T08:37:48.440Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/clerk-js@6.12.0/dist/clerk.browser.js → 200 (256ms, 273420B)
[2026-05-24T08:37:48.905Z] GET blob:http://localhost:3000/012660d6-1170-4bf7-9bc7-fb49ba23ed90 → 200 (4ms, 555B)
[2026-05-24T08:37:48.906Z] POST https://becoming-labrador-2.clerk.accounts.dev/v1/dev_browser?__clerk_api_version=2025-11-10&_clerk_js_version=6.12.0 → 200 (144ms, 663B)
[2026-05-24T08:37:49.057Z] POST https://becoming-labrador-2.clerk.accounts.dev/v1/environment?__clerk_api_version=2025-11-10&_clerk_js_version=6.12.0&_method=PATCH&__clerk_db_jwt=dvb_3EACDnjTLWk02y9Dsbyt1hC3SqO → pending (?ms, ?B)
[2026-05-24T08:37:49.057Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client?__clerk_api_version=2025-11-10&_clerk_js_version=6.12.0&__clerk_db_jwt=dvb_3EACDnjTLWk02y9Dsbyt1hC3SqO → pending (?ms, ?B)
[2026-05-24T08:37:49.166Z] GET blob:http://localhost:3000/924b412b-1514-443c-9a78-017cb85e74d7 → 200 (3ms, 555B)
[2026-05-24T08:37:49.166Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/ui@1.13.0/dist/framework_ui_23a865_1.13.0.js → 200 (79ms, 132745B)
[2026-05-24T08:37:49.166Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/ui@1.13.0/dist/ui-common_ui_23a865_1.13.0.js → 200 (73ms, 430072B)
[2026-05-24T08:37:49.169Z] POST https://clerk-telemetry.com/v1/event → 200 (463ms, ?B)
[2026-05-24T08:37:49.250Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/ui@1.13.0/dist/vendors_ui_23a865_1.13.0.js → 200 (57ms, 175371B)
[2026-05-24T08:37:49.250Z] GET https://becoming-labrador-2.clerk.accounts.dev/npm/@clerk/ui@1.13.0/dist/subscriptionDetails_ui_23a865_1.13.0.js → 200 (50ms, 14706B)
[2026-05-24T08:37:51.635Z] POST http://localhost:3000/api/admin/login → pending (?ms, ?B)
[2026-05-24T08:37:53.203Z] GET http://localhost:3000/_next/static/webpack/508be64983f4280e.webpack.hot-update.json → 200 (45ms, 31B)
[2026-05-24T08:37:53.245Z] GET http://localhost:3000/admin?_rsc=Ej1j9mqMpbIB5o2g → 200 (70ms, 14603B)
[2026-05-24T08:37:53.248Z] GET http://localhost:3000/_next/static/webpack/webpack.508be64983f4280e.hot-update.js → 200 (10ms, 1157B)
[2026-05-24T08:37:53.321Z] GET http://localhost:3000/admin?_rsc=wXxb6gdVRxVRualR → 200 (23ms, ?B)
[2026-05-24T08:37:53.321Z] GET http://localhost:3000/_next/static/chunks/app/admin/page.js → 200 (51ms, 1892883B)
[2026-05-24T08:37:53.351Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1779611873336 → 200 (7ms, 75829B)
[2026-05-24T08:37:53.411Z] GET http://localhost:3000/api/admin/overview → pending (?ms, ?B)
[2026-05-24T08:37:53.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → pending (?ms, ?B)
[2026-05-24T08:37:53.411Z] GET http://localhost:3000/api/admin/payments → pending (?ms, ?B)
[2026-05-24T08:37:53.411Z] GET http://localhost:3000/api/admin/agents → pending (?ms, ?B)
[2026-05-24T08:37:53.411Z] GET http://localhost:3000/api/admin/overview → pending (?ms, ?B)
[2026-05-24T08:37:53.412Z] GET http://localhost:3000/api/admin/tasks?limit=100 → pending (?ms, ?B)
[2026-05-24T08:37:53.412Z] GET http://localhost:3000/api/admin/payments → pending (?ms, ?B)
[2026-05-24T08:37:53.412Z] GET http://localhost:3000/api/admin/agents → pending (?ms, ?B)
[2026-05-24T08:37:53.412Z] POST https://clerk-telemetry.com/v1/event → 200 (25ms, ?B)
[2026-05-24T08:37:54.237Z] GET http://localhost:3000/_next/static/webpack/994c3ac4506e0294.webpack.hot-update.json → pending (?ms, ?B)
[2026-05-24T08:37:55.466Z] GET http://localhost:3000/_next/static/webpack/webpack.994c3ac4506e0294.hot-update.js → 200 (21ms, 1157B)
[2026-05-24T08:37:55.488Z] GET http://localhost:3000/_next/static/webpack/b8284fc18d33bbbd.webpack.hot-update.json → 200 (5ms, 31B)
[2026-05-24T08:37:55.493Z] GET http://localhost:3000/_next/static/webpack/webpack.b8284fc18d33bbbd.hot-update.js → 200 (6ms, 1157B)
[2026-05-24T08:37:55.825Z] GET http://localhost:3000/api/a2a/agents/aside-browser → 200 (29ms, 2869B)
[2026-05-24T08:37:55.825Z] GET http://localhost:3000/api/a2a/agents/aside-browser → 200 (18ms, 2869B)
[2026-05-24T08:38:01.412Z] GET http://localhost:3000/api/admin/overview → 200 (242ms, 10490B)
[2026-05-24T08:38:01.412Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (329ms, 73159B)
[2026-05-24T08:38:01.412Z] GET http://localhost:3000/api/admin/payments → 200 (326ms, 43987B)
[2026-05-24T08:38:01.412Z] GET http://localhost:3000/api/admin/agents → 200 (323ms, 28322B)
[2026-05-24T08:38:09.413Z] GET http://localhost:3000/api/admin/overview → 200 (212ms, 10490B)
[2026-05-24T08:38:09.413Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (283ms, 73159B)
[2026-05-24T08:38:09.414Z] GET http://localhost:3000/api/admin/payments → 200 (208ms, 43987B)
[2026-05-24T08:38:09.414Z] GET http://localhost:3000/api/admin/agents → 200 (198ms, 28322B)
[2026-05-24T08:38:17.412Z] GET http://localhost:3000/api/admin/overview → 200 (177ms, 10490B)
[2026-05-24T08:38:17.412Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (295ms, 73159B)
[2026-05-24T08:38:17.412Z] GET http://localhost:3000/api/admin/payments → 200 (183ms, 43987B)
[2026-05-24T08:38:17.412Z] GET http://localhost:3000/api/admin/agents → 200 (179ms, 28322B)
[2026-05-24T08:38:25.412Z] GET http://localhost:3000/api/admin/overview → 200 (241ms, 10490B)
[2026-05-24T08:38:25.412Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (267ms, 73159B)
[2026-05-24T08:38:25.412Z] GET http://localhost:3000/api/admin/payments → 200 (244ms, 43987B)
[2026-05-24T08:38:25.412Z] GET http://localhost:3000/api/admin/agents → 200 (246ms, 28322B)
[2026-05-24T08:38:33.412Z] GET http://localhost:3000/api/admin/overview → 200 (240ms, 10490B)
[2026-05-24T08:38:33.412Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (325ms, 73159B)
[2026-05-24T08:38:33.412Z] GET http://localhost:3000/api/admin/payments → 200 (259ms, 43987B)
[2026-05-24T08:38:33.412Z] GET http://localhost:3000/api/admin/agents → 200 (252ms, 28322B)
[2026-05-24T08:38:41.413Z] GET http://localhost:3000/api/admin/overview → 200 (241ms, 10490B)
[2026-05-24T08:38:41.413Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (496ms, 73159B)
[2026-05-24T08:38:41.413Z] GET http://localhost:3000/api/admin/payments → 200 (187ms, 43987B)
[2026-05-24T08:38:41.413Z] GET http://localhost:3000/api/admin/agents → 200 (184ms, 28322B)
[2026-05-24T08:38:49.413Z] GET http://localhost:3000/api/admin/overview → 200 (375ms, 10490B)
[2026-05-24T08:38:49.413Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (359ms, 73159B)
[2026-05-24T08:38:49.413Z] GET http://localhost:3000/api/admin/payments → 200 (209ms, 43987B)
[2026-05-24T08:38:49.413Z] GET http://localhost:3000/api/admin/agents → 200 (202ms, 28322B)
[2026-05-24T08:38:57.411Z] GET http://localhost:3000/api/admin/overview → pending (?ms, ?B)
[2026-05-24T08:38:57.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → pending (?ms, ?B)
[2026-05-24T08:38:57.411Z] GET http://localhost:3000/api/admin/payments → pending (?ms, ?B)
[2026-05-24T08:38:57.411Z] GET http://localhost:3000/api/admin/agents → pending (?ms, ?B)
[2026-05-24T08:39:00.490Z] GET http://localhost:3000/_next/static/webpack/47b0620c2fee77e7.webpack.hot-update.json → 200 (137ms, 44B)
[2026-05-24T08:39:00.628Z] GET http://localhost:3000/_next/static/webpack/app/layout.47b0620c2fee77e7.hot-update.js → 200 (228ms, 1795B)
[2026-05-24T08:39:00.628Z] GET http://localhost:3000/_next/static/webpack/webpack.47b0620c2fee77e7.hot-update.js → 200 (229ms, 1157B)
[2026-05-24T08:39:00.882Z] GET http://localhost:3000/admin?_rsc=HW2oFm9cWdp1e4Mc → 200 (185ms, 22464B)
[2026-05-24T08:39:01.080Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1779611941036 → 200 (9ms, 75829B)
[2026-05-24T08:39:05.413Z] GET http://localhost:3000/api/admin/overview → 200 (193ms, 10490B)
[2026-05-24T08:39:05.413Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (191ms, 73159B)
[2026-05-24T08:39:05.413Z] GET http://localhost:3000/api/admin/payments → 200 (202ms, 43987B)
[2026-05-24T08:39:05.413Z] GET http://localhost:3000/api/admin/agents → 200 (196ms, 28322B)
[2026-05-24T08:39:13.412Z] GET http://localhost:3000/api/admin/overview → 200 (294ms, 10490B)
[2026-05-24T08:39:13.412Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (365ms, 73159B)
[2026-05-24T08:39:13.412Z] GET http://localhost:3000/api/admin/payments → 200 (292ms, 43987B)
[2026-05-24T08:39:13.412Z] GET http://localhost:3000/api/admin/agents → 200 (285ms, 28322B)
[2026-05-24T08:39:21.411Z] GET http://localhost:3000/api/admin/overview → 200 (244ms, 10490B)
[2026-05-24T08:39:21.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (265ms, 73159B)
[2026-05-24T08:39:21.411Z] GET http://localhost:3000/api/admin/payments → 200 (192ms, 43987B)
[2026-05-24T08:39:21.411Z] GET http://localhost:3000/api/admin/agents → 200 (187ms, 28322B)
[2026-05-24T08:39:29.411Z] GET http://localhost:3000/api/admin/overview → 200 (208ms, 10490B)
[2026-05-24T08:39:29.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (212ms, 73159B)
[2026-05-24T08:39:29.411Z] GET http://localhost:3000/api/admin/payments → 200 (210ms, 43987B)
[2026-05-24T08:39:29.411Z] GET http://localhost:3000/api/admin/agents → 200 (207ms, 28322B)
[2026-05-24T08:39:37.411Z] GET http://localhost:3000/api/admin/overview → 200 (170ms, 10490B)
[2026-05-24T08:39:37.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (230ms, 73159B)
[2026-05-24T08:39:37.411Z] GET http://localhost:3000/api/admin/payments → 200 (241ms, 43987B)
[2026-05-24T08:39:37.411Z] GET http://localhost:3000/api/admin/agents → 200 (233ms, 28322B)
[2026-05-24T08:39:45.411Z] GET http://localhost:3000/api/admin/overview → 200 (191ms, 10490B)
[2026-05-24T08:39:45.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (299ms, 73159B)
[2026-05-24T08:39:45.411Z] GET http://localhost:3000/api/admin/payments → 200 (195ms, 43987B)
[2026-05-24T08:39:45.412Z] GET http://localhost:3000/api/admin/agents → 200 (179ms, 28322B)
[2026-05-24T08:39:53.411Z] GET http://localhost:3000/api/admin/overview → 200 (150ms, 10490B)
[2026-05-24T08:39:53.411Z] GET http://localhost:3000/api/admin/tasks?limit=100 → 200 (324ms, 73159B)
[2026-05-24T08:39:53.411Z] GET http://localhost:3000/api/admin/payments → 200 (206ms, 43987B)
[2026-05-24T08:39:53.411Z] GET http://localhost:3000/api/admin/agents → 200 (221ms, 28322B)
